Date,CT_site,effort_class,Conservancy,X,Y,closed_lc,agri_lc,distance_to_water,popdens_log,precip
11/10/2018,NB06,1,Naboisho,752666.9048,9842161.763,0.631336406,0,0.21,2.877643324,0.051021578
11/10/2018,NB08,1,Naboisho,756656.4644,9842172.786,0.441314554,0,1.275617554,2.187811159,0.051021578
11/10/2018,NB09,1,Naboisho,758668.4711,9842149.251,0.97706422,0,0.637808777,2.326129151,0.051021578
11/10/2018,NB10,1,Naboisho,760631.7363,9842165.86,0.559090909,0,0.513517273,2.757627703,0.051021578
11/10/2018,NB11,1,Naboisho,762651.9469,9842154.077,0.622727273,0,0.108166534,2.93909721,0.051021578
11/10/2018,NB12,1,Naboisho,764665.0405,9842160.597,0.495412844,0,1.053423096,3.155262433,0.059604647
11/10/2018,NB14,1,Naboisho,752666.119,9844170.347,0.857798165,0,0.06,2.583506902,0.051021578
11/10/2018,NB15,1,Naboisho,754641.8523,9844187.153,1,0,1.980227295,2.258475112,0.051021578
11/10/2018,NB16,1,Naboisho,756642.1513,9844168.858,0.095890411,0,0.848528137,2.316793384,0.051021578
11/10/2018,NB17,1,Naboisho,758656.4916,9844157.698,0.781818182,0,0.600749512,2.23965324,0.051021578
11/10/2018,NB18,1,Naboisho,760639.3001,9844167.826,0.826484018,0,0.759539307,2.401584732,0.051021578
11/10/2018,NB19,1,Naboisho,762646.1823,9844155.402,0.490909091,0,0.715611633,2.703343686,0.051021578
11/10/2018,NB20,1,Naboisho,764648.8676,9844164.87,0.99086758,0,1.030970459,2.91339243,0.059604647
11/10/2018,NB21,1,Naboisho,748680.2881,9846146.902,0.513636364,0,0.174928558,3.08331416,0.051021578
11/10/2018,NB22,1,Naboisho,750637.6879,9846154.748,0.442396313,0,0.15,2.844930945,0.051021578
11/10/2018,NB23,1,Naboisho,752636.3003,9846151.839,0.304147465,0,0.39115213,2.51275779,0.051021578
11/10/2018,NB24,1,Naboisho,754611.0674,9846143.618,0.716894977,0,1.276322876,2.446042469,0.051021578
11/10/2018,NB25,1,Naboisho,756629.8054,9846154.623,0.726415094,0,0.595483032,2.311160838,0.051021578
11/10/2018,NB26,1,Naboisho,758672.951,9846137.811,0.170506912,0,0.45,2.42473137,0.051021578
11/10/2018,NB27,1,Naboisho,760640.4191,9846146.715,0.9543379,0,0.632850647,2.203738469,0.051021578
11/10/2018,NB28,1,Naboisho,762700.26,9846146.692,0.013761468,0,0.600749512,2.40861545,0.051021578
11/10/2018,NB29,1,Naboisho,764656.8491,9846171.832,0.292237443,0,1.351332642,2.668195748,0.059604647
11/10/2018,NB30,1,Naboisho,750658.2772,9848153.527,0.292237443,0,0.349857117,2.430462345,0.151634216
11/10/2018,NB31,1,Naboisho,752604.9368,9848157.86,0.762557078,0,0.12,2.307599144,0.151634216
11/10/2018,NB32,1,Naboisho,754656.6739,9848163.646,0.821100917,0,0.792590698,2.472140065,0.151634216
11/10/2018,NB33,1,Naboisho,756661.1459,9848172.379,0.070422535,0,0.553172668,2.498835986,0.151634216
11/10/2018,NB34,1,Naboisho,758669.1965,9848164.234,0.598130841,0,0.78230426,2.535582784,0.151634216
11/10/2018,NB35,1,Naboisho,760668.246,9848166.756,0.799086758,0,0.21840329,2.42255327,0.151634216
11/10/2018,NB36,1,Naboisho,762648.2335,9848164.645,0.045454545,0,0.766615967,2.47886657,0.151634216
11/10/2018,NB37,1,Naboisho,764675.3167,9848280.301,0.178082192,0,0.797119812,2.541690693,0.092029575
11/10/2018,NB38,1,Naboisho,766669.912,9848184.463,0.223744292,0,0.597745728,2.66056504,0.092029575
11/10/2018,NB39,1,Naboisho,750645.2124,9850170.399,0.00456621,0,0.201246109,2.68394909,0.151634216
11/10/2018,NB40,1,Naboisho,752639.0351,9850148.174,0.126168224,0,0.69260376,2.614975927,0.151634216
11/10/2018,NB41,1,Naboisho,754577.8123,9850215.359,0.013636364,0,1.727541626,2.639210799,0.151634216
11/10/2018,NB42,1,Naboisho,762639.0722,9850167.911,0,0,0.700357056,2.723757212,0.151634216
11/10/2018,NB43,1,Naboisho,764654.5329,9850180.526,0.182648402,0,0.632850647,2.725958684,0.092029575
11/10/2018,NB44,1,Naboisho,766663.1571,9850189.62,0.831050228,0,0.593969727,2.690087434,0.092029575
11/10/2018,NB45,1,Naboisho,752645.4695,9852170.744,0,0,1.231462524,2.628042147,0.151634216
11/10/2018,NB46,1,Naboisho,766639.7615,9852187.503,0.383561644,0,0.268328156,2.454816346,0.092029575
11/10/2018,NB47,1,Naboisho,768630.2545,9852176.431,0.596330275,0,0.108166534,2.059897607,0.092029575
11/10/2018,NB48,1,Naboisho,752648.5997,9854170.357,0,0,0.729931519,2.626694416,0.151634216
11/10/2018,NB49,1,Naboisho,766677.616,9854102.023,0.142857143,0,0.3,2.334279081,0.092029575
11/10/2018,NB50,1,Naboisho,768652.3296,9854170.571,0.009302326,0,0.57078894,2.275215066,0.092029575
12/10/2018,OMC25,1,OMC,749804.3886,9856478.513,0.287671233,0,1.04785498,2.951281601,0.339031219
12/10/2018,NB01,1,Naboisho,756662.9267,9838183.315,0.582159624,0,0.456946381,2.357317536,0.667572007
12/10/2018,NB02,1,Naboisho,754649.5239,9840221.108,0.273148148,0,0.067082039,2.298088813,0.667572007
12/10/2018,NB03,1,Naboisho,756637.184,9840179.28,0.813636364,0,0.75,2.135646508,0.667572007
12/10/2018,NB04,1,Naboisho,758637.3355,9840160.339,1,0,0.445982056,2.344344046,0.667572007
12/10/2018,NB05,1,Naboisho,760649.1095,9840173.239,0.191780822,0,0.416773315,2.840648049,0.667572007
12/10/2018,NB06,1,Naboisho,752666.9048,9842161.763,0.631336406,0,0.21,2.877643324,0.667572007
12/10/2018,NB08,1,Naboisho,756656.4644,9842172.786,0.441314554,0,1.275617554,2.187811159,0.667572007
12/10/2018,NB09,1,Naboisho,758668.4711,9842149.251,0.97706422,0,0.637808777,2.326129151,0.667572007
12/10/2018,NB10,1,Naboisho,760631.7363,9842165.86,0.559090909,0,0.513517273,2.757627703,0.667572007
12/10/2018,NB11,1,Naboisho,762651.9469,9842154.077,0.622727273,0,0.108166534,2.93909721,0.667572007
12/10/2018,NB12,1,Naboisho,764665.0405,9842160.597,0.495412844,0,1.053423096,3.155262433,1.208305388
12/10/2018,NB14,1,Naboisho,752666.119,9844170.347,0.857798165,0,0.06,2.583506902,0.667572007
12/10/2018,NB15,1,Naboisho,754641.8523,9844187.153,1,0,1.980227295,2.258475112,0.667572007
12/10/2018,NB16,1,Naboisho,756642.1513,9844168.858,0.095890411,0,0.848528137,2.316793384,0.667572007
12/10/2018,NB17,1,Naboisho,758656.4916,9844157.698,0.781818182,0,0.600749512,2.23965324,0.667572007
12/10/2018,NB18,1,Naboisho,760639.3001,9844167.826,0.826484018,0,0.759539307,2.401584732,0.667572007
12/10/2018,NB19,1,Naboisho,762646.1823,9844155.402,0.490909091,0,0.715611633,2.703343686,0.667572007
12/10/2018,NB20,1,Naboisho,764648.8676,9844164.87,0.99086758,0,1.030970459,2.91339243,1.208305388
12/10/2018,NB21,1,Naboisho,748680.2881,9846146.902,0.513636364,0,0.174928558,3.08331416,0.667572007
12/10/2018,NB22,1,Naboisho,750637.6879,9846154.748,0.442396313,0,0.15,2.844930945,0.667572007
12/10/2018,NB23,1,Naboisho,752636.3003,9846151.839,0.304147465,0,0.39115213,2.51275779,0.667572007
12/10/2018,NB24,1,Naboisho,754611.0674,9846143.618,0.716894977,0,1.276322876,2.446042469,0.667572007
12/10/2018,NB25,1,Naboisho,756629.8054,9846154.623,0.726415094,0,0.595483032,2.311160838,0.667572007
12/10/2018,NB26,1,Naboisho,758672.951,9846137.811,0.170506912,0,0.45,2.42473137,0.667572007
12/10/2018,NB27,1,Naboisho,760640.4191,9846146.715,0.9543379,0,0.632850647,2.203738469,0.667572007
12/10/2018,NB28,1,Naboisho,762700.26,9846146.692,0.013761468,0,0.600749512,2.40861545,0.667572007
12/10/2018,NB29,1,Naboisho,764656.8491,9846171.832,0.292237443,0,1.351332642,2.668195748,1.208305388
12/10/2018,NB30,1,Naboisho,750658.2772,9848153.527,0.292237443,0,0.349857117,2.430462345,0.339031219
12/10/2018,NB31,1,Naboisho,752604.9368,9848157.86,0.762557078,0,0.12,2.307599144,0.339031219
12/10/2018,NB32,1,Naboisho,754656.6739,9848163.646,0.821100917,0,0.792590698,2.472140065,0.339031219
12/10/2018,NB33,1,Naboisho,756661.1459,9848172.379,0.070422535,0,0.553172668,2.498835986,0.339031219
12/10/2018,NB34,1,Naboisho,758669.1965,9848164.234,0.598130841,0,0.78230426,2.535582784,0.339031219
12/10/2018,NB35,1,Naboisho,760668.246,9848166.756,0.799086758,0,0.21840329,2.42255327,0.339031219
12/10/2018,NB36,1,Naboisho,762648.2335,9848164.645,0.045454545,0,0.766615967,2.47886657,0.339031219
12/10/2018,NB37,1,Naboisho,764675.3167,9848280.301,0.178082192,0,0.797119812,2.541690693,0.277519226
12/10/2018,NB38,1,Naboisho,766669.912,9848184.463,0.223744292,0,0.597745728,2.66056504,0.277519226
12/10/2018,NB39,1,Naboisho,750645.2124,9850170.399,0.00456621,0,0.201246109,2.68394909,0.339031219
12/10/2018,NB40,1,Naboisho,752639.0351,9850148.174,0.126168224,0,0.69260376,2.614975927,0.339031219
12/10/2018,NB41,1,Naboisho,754577.8123,9850215.359,0.013636364,0,1.727541626,2.639210799,0.339031219
12/10/2018,NB42,1,Naboisho,762639.0722,9850167.911,0,0,0.700357056,2.723757212,0.339031219
12/10/2018,NB43,1,Naboisho,764654.5329,9850180.526,0.182648402,0,0.632850647,2.725958684,0.277519226
12/10/2018,NB44,1,Naboisho,766663.1571,9850189.62,0.831050228,0,0.593969727,2.690087434,0.277519226
