"CT_site","Conservancy","X","Y","closed_lc","agri_lc","distance_to_water","popdens_log","n_days_sampled","livestock_pressure"
"NB37","Naboisho",764675.316671586,9848280.30142914,0.178082191780822,0,0.797119812011719,2.54083265776133,44,0.0681818181818182
"NB38","Naboisho",766669.912044427,9848184.46349395,0.223744292237443,0,0.597745788574219,2.65967042199755,44,0.113636363636364
"NB20","Naboisho",764648.867562136,9844164.86972588,0.990867579908676,0,1.03097045898437,2.91251162033351,45,0
"NB19","Naboisho",762646.182324789,9844155.40226378,0.490909090909091,0,0.715611633300781,2.70249730997427,25,0.36
"NB12","Naboisho",764665.040513977,9842160.5971928,0.495412844036697,0,1.05342297363281,3.15437075429227,44,0.0227272727272727
"NB11","Naboisho",762651.946910568,9842154.07740937,0.622727272727273,0,0.108166542053223,2.93823806688782,44,0.0681818181818182
"NB28","Naboisho",762700.259971176,9846146.69223556,0.0137614678899083,0,0.60074951171875,2.40778990901563,45,0.222222222222222
"NB35","Naboisho",760668.246038289,9848166.75599517,0.799086757990868,0,0.218403289794922,2.42174848279169,44,0.409090909090909
"NB34","Naboisho",758669.196466759,9848164.23385357,0.598130841121495,0,0.782304260253906,2.53479153193393,43,0.348837209302326
"NB26","Naboisho",758672.95103285,9846137.8107359,0.170506912442396,0,0.45,2.42394810083688,44,0.159090909090909
"NB27","Naboisho",760640.419054119,9846146.71472871,0.954337899543379,0,0.632850708007813,2.2029528482197,45,0.244444444444444
"NB18","Naboisho",760639.300142443,9844167.8257959,0.82648401826484,0,0.759539306640625,2.4007816046347,35,0
"NB17","Naboisho",758656.491642432,9844157.69794995,0.781818181818182,0,0.60074951171875,2.23888543918512,33,0
"NB09","Naboisho",758668.471052766,9842149.25078336,0.977064220183486,0,0.637808776855469,2.32535376573162,27,0
"NB10","Naboisho",760631.73629263,9842165.86003437,0.559090909090909,0,0.513517272949219,2.75680060487828,29,0.0689655172413793
"NB05","Naboisho",760649.109482402,9840173.23923805,0.191780821917808,0,0.416773315429687,2.83981648540134,43,0.116279069767442
"NB04","Naboisho",758637.335532159,9840160.33898825,1,0,0.445982055664063,2.34357253916012,43,0.116279069767442
"NB01","Naboisho",756662.92672668,9838183.31505847,0.582159624413146,0,0.456946380615234,2.35656638363548,43,0.0697674418604651
"NB02","Naboisho",754649.523893927,9840221.1079558,0.273148148148148,0,0.0670820388793945,2.29736353091997,43,0
"NB06","Naboisho",752666.90482485,9842161.76323226,0.631336405529954,0,0.21,2.87690437837899,35,0.428571428571429
"NB13","Naboisho",750656.869809531,9844165.44972426,0.431192660550459,0,0.0424264068603516,2.96926093373061,0,NA
"NB30","Naboisho",750658.277176509,9848153.52725262,0.292237442922374,0,0.349857116699219,2.42977459575296,39,0.384615384615385
"NB21","Naboisho",748680.288061276,9846146.90184138,0.513636363636364,0,0.174928558349609,3.08261645454799,42,0.80952380952381
