lon,lat,species,id
-98.05591968066514,19.599227304512905,Lasiurus_cinereus,1418521209
-104.571611,28.215611,Lasiurus_cinereus,3306340413
-100.806297,19.890301,Lasiurus_cinereus,2629108360
-98.383,50.1833,Lasiurus_cinereus,1414132164
-98.980834,19.35915,Lasiurus_cinereus,1088947860
-104.320219,38.283012,Lasiurus_cinereus,1145108875
-107.387789,24.821978,Lasiurus_cinereus,1990576813
-78.187399,43.969654,Lasiurus_cinereus,1211971664
-104.791425,32.033536,Lasiurus_cinereus,2804497225
-76.11451,44.772548,Lasiurus_cinereus,1880578878
-103.790019,40.253443,Lasiurus_cinereus,1145094384
-108.673329,40.4571,Lasiurus_cinereus,1145140762
-78.788469,43.872662,Lasiurus_cinereus,1914215080
-107.514,33.883,Lasiurus_cinereus,1323891896
-101.365845,21.020874,Lasiurus_cinereus,1837739976
-120.072069,38.879934,Lasiurus_cinereus,2864710894
-96.548333,17.573611,Lasiurus_cinereus,1895936170
-118.243897,34.091342,Lasiurus_cinereus,2574291035
-112.458158,42.859828,Lasiurus_cinereus,1640127993
-106.03688,35.628412,Lasiurus_cinereus,2864607777
-89.670931,43.121938,Lasiurus_cinereus,2265851891
-101.931563,43.750294,Lasiurus_cinereus,1145146049
-71.381372,41.787041,Lasiurus_cinereus,1883452098
-104.870296,38.878138,Lasiurus_cinereus,1586925731
-108.734883,33.58488,Lasiurus_cinereus,2999213123
-124.074043,40.886975,Lasiurus_cinereus,2864863321
-99.055888,19.59312,Lasiurus_cinereus,2988296903
-118.731414,34.097955,Lasiurus_cinereus,1848806264
-108.990119,40.606183,Lasiurus_cinereus,1145142732
-96.325592,44.013717,Lasiurus_cinereus,2397519838
-107.738961,27.027311,Lasiurus_cinereus,1065589021
-85.33817,42.528958,Lasiurus_cinereus,2456541149
-109.865211,23.559122,Lasiurus_cinereus,2802609030
-110.845665,31.761334,Lasiurus_cinereus,2804498891
-98.980926,19.166024,Lasiurus_cinereus,3090909020
-106.507554,31.8337,Lasiurus_cinereus,1323893098
-101.640385,19.420837,Lasiurus_cinereus,1249292925
-104.128331,44.375584,Lasiurus_cinereus,1145150406
-103.668555,41.690249,Lasiurus_cinereus,1145152671
-75.983413,39.225736,Lasiurus_cinereus,2980987674
-135.393,58.099,Lasiurus_cinereus,1050349908
-106.236095,31.751661,Lasiurus_cinereus,2804493876
-103.564983,42.782143,Lasiurus_cinereus,2596441531
-111.447871,37.057337,Lasiurus_cinereus,2444954500
-80.547074,35.570281,Lasiurus_cinereus,1839208532
-106.646768,53.786555,Lasiurus_cinereus,2429335636
-80.913662,35.035587,Lasiurus_cinereus,2641442526
-87.421352,35.253178,Lasiurus_cinereus,2984363954
-107.738592,33.199424,Lasiurus_cinereus,1978635548
-100.27444,21.193237,Lasiurus_cinereus,46237019
-117.89974,49.35464,Lasiurus_cinereus,2634023442
-98.132833,42.6915,Lasiurus_cinereus,3042301579
-97.781949,30.334694,Lasiurus_cinereus,2804494118
-101.992996,33.571999,Lasiurus_cinereus,911698842
-103.028,34.959999,Lasiurus_cinereus,911687848
-99.35187,39.10177,Lasiurus_cinereus,239720145
-76.51747,42.44687,Lasiurus_cinereus,1852482212
-109.29722,33.64417,Lasiurus_cinereus,1262417044
-102.943889,36.878363,Lasiurus_cinereus,202070375
-122.551,47.236,Lasiurus_cinereus,1702720701
-95.45289408760743,38.6071837378887,Lasiurus_cinereus,686466399
-95.23508999823896,38.971678084399,Lasiurus_cinereus,686487967
-109.8604,50.86102,Lasiurus_cinereus,2628794300
-119.029444,33.4775,Lasiurus_cinereus,735673762
-96.803056,17.213611,Lasiurus_cinereus,2013414692
-104.027222,24.005,Lasiurus_cinereus,1895703075
-106.4885,26.280333,Lasiurus_cinereus,1894747345
-96.988399,33.060256,Lasiurus_cinereus,1065588743
-103.348163,34.257455,Lasiurus_cinereus,1880626517
-108.867097,39.192113,Lasiurus_cinereus,2565923824
-102.39934,29.888512,Lasiurus_cinereus,2804481152
-100.985001,29.896668,Lasiurus_cinereus,2804481489
-99.020023,18.51048,Lasiurus_cinereus,2813991885
-103.783836,41.782747,Lasiurus_cinereus,1145152661
-101.420205,26.791002,Lasiurus_cinereus,1893485817
-105.66589125526762,33.68560682963859,Lasiurus_cinereus,1145366858
-115.358827,36.437931,Lasiurus_cinereus,3109325379
-109.238266,41.601586,Lasiurus_cinereus,1145108578
-68.162385,46.088909,Lasiurus_cinereus,2864702507
-98.181325,26.299823,Lasiurus_cinereus,1806356078
-115.018939,36.099104,Lasiurus_cinereus,3124918772
-97.200278,17.696443,Lasiurus_cinereus,2868182653
-111.02298,32.278267,Lasiurus_cinereus,3112360239
