"Date","CT_site","effort_class"
2018-10-08,"OMC38",NA
2018-10-08,"NB01",1
2018-10-08,"NB02",1
2018-10-08,"NB03",0
2018-10-08,"NB04",1
2018-10-08,"NB05",1
2018-10-08,"NB06",1
2018-10-08,"NB07",0
2018-10-08,"NB08",0
2018-10-08,"NB09",1
2018-10-08,"NB10",1
2018-10-08,"NB11",1
2018-10-08,"NB12",1
2018-10-08,"NB14",0
2018-10-08,"NB15",0
2018-10-08,"NB16",0
2018-10-08,"NB17",1
2018-10-08,"NB18",1
2018-10-08,"NB19",1
2018-10-08,"NB20",1
2018-10-08,"NB21",1
2018-10-08,"NB22",1
2018-10-08,"NB23",0
2018-10-08,"NB24",0
2018-10-08,"NB25",0
2018-10-08,"NB26",1
2018-10-08,"NB27",1
2018-10-08,"NB28",1
2018-10-08,"NB29",0
2018-10-08,"NB30",1
2018-10-08,"NB31",0
2018-10-08,"NB32",0
2018-10-08,"NB33",0
2018-10-08,"NB34",1
2018-10-08,"NB35",1
2018-10-08,"NB36",0
2018-10-08,"NB37",1
2018-10-08,"NB38",1
2018-10-08,"NB39",0
2018-10-08,"NB40",0
2018-10-08,"NB41",0
2018-10-08,"NB42",0
2018-10-08,"NB43",0
2018-10-08,"NB44",1
2018-10-08,"NB45",0
2018-10-08,"NB46",1
2018-10-08,"NB47",1
2018-10-08,"NB48",0
2018-10-08,"NB49",0
2018-10-08,"NB50",0
2018-10-09,"MN02",NA
2018-10-09,"MN04",NA
2018-10-09,"MN05",NA
2018-10-09,"MN06",NA
2018-10-09,"MN07",NA
2018-10-09,"MN08",NA
2018-10-09,"MN09",NA
2018-10-09,"MN10",NA
2018-10-09,"MN11",NA
2018-10-09,"MN12",NA
2018-10-09,"MN13",NA
2018-10-09,"MN14",NA
2018-10-09,"MN15",NA
2018-10-09,"MN16",NA
2018-10-09,"MN17",NA
2018-10-09,"MN18",NA
2018-10-09,"MN19",NA
2018-10-09,"MN20",NA
2018-10-09,"MN21",NA
2018-10-09,"MN22",NA
2018-10-09,"MN23",NA
2018-10-09,"MN24",NA
2018-10-09,"MN25",NA
2018-10-09,"MN26",NA
2018-10-09,"MN27",NA
2018-10-09,"MN29",NA
2018-10-09,"MN30",NA
2018-10-09,"MN31",NA
2018-10-09,"MN32",NA
2018-10-09,"MN33",NA
2018-10-09,"MN34",NA
2018-10-09,"MN35",NA
2018-10-09,"MN37",NA
2018-10-09,"MN38",NA
2018-10-09,"MN39",NA
2018-10-09,"MN40",NA
2018-10-09,"MN41",NA
2018-10-09,"MN42",NA
2018-10-09,"MN43",NA
2018-10-09,"MN44",NA
2018-10-09,"MN45",NA
2018-10-09,"MN46",NA
2018-10-09,"MN47",NA
2018-10-09,"MN48",NA
2018-10-09,"MN49",NA
2018-10-09,"MN50",NA
2018-10-09,"MT01",NA
2018-10-09,"MT02",NA
2018-10-09,"MT03",NA
2018-10-09,"MT04",NA
2018-10-09,"MT05",NA
2018-10-09,"MT07",NA
2018-10-09,"MT08",NA
2018-10-09,"MT09",NA
2018-10-09,"MT10",NA
2018-10-09,"MT11",NA
2018-10-09,"MT12",NA
2018-10-09,"MT13",NA
2018-10-09,"MT14",NA
2018-10-09,"MT15",NA
2018-10-09,"MT16",NA
2018-10-09,"MT17",NA
2018-10-09,"MT18",NA
2018-10-09,"MT19",NA
2018-10-09,"MT20",NA
2018-10-09,"MT21",NA
2018-10-09,"MT22",NA
2018-10-09,"MT23",NA
2018-10-09,"MT24",NA
2018-10-09,"MT25",NA
2018-10-09,"MT26",NA
2018-10-09,"MT27",NA
2018-10-09,"MT28",NA
2018-10-09,"MT29",NA
2018-10-09,"MT30",NA
2018-10-09,"MT31",NA
2018-10-09,"MT32",NA
2018-10-09,"MT33",NA
2018-10-09,"MT34",NA
2018-10-09,"MT35",NA
2018-10-09,"MT36",NA
2018-10-09,"MT37",NA
2018-10-09,"MT38",NA
2018-10-09,"MT39",NA
2018-10-09,"MT40",NA
2018-10-09,"MT41",NA
2018-10-09,"MT42",NA
2018-10-09,"MT43",NA
2018-10-09,"MT44",NA
2018-10-09,"MT45",NA
2018-10-09,"MT46",NA
2018-10-09,"MT47",NA
2018-10-09,"MT48",NA
2018-10-09,"MT49",NA
2018-10-09,"OMC01",NA
2018-10-09,"OMC02",NA
2018-10-09,"OMC03",NA
2018-10-09,"OMC04",NA
2018-10-09,"OMC05",NA
2018-10-09,"OMC06",NA
2018-10-09,"OMC07",NA
2018-10-09,"OMC09",NA
2018-10-09,"OMC10",NA
2018-10-09,"OMC11",NA
2018-10-09,"OMC12",NA
2018-10-09,"OMC13",NA
2018-10-09,"OMC15",NA
2018-10-09,"OMC16",NA
2018-10-09,"OMC17",NA
2018-10-09,"OMC18",NA
2018-10-09,"OMC19",NA
2018-10-09,"OMC21",NA
2018-10-09,"OMC22",NA
2018-10-09,"OMC23",NA
2018-10-09,"OMC24",NA
2018-10-09,"OMC25",NA
2018-10-09,"OMC26",NA
2018-10-09,"OMC27",NA
2018-10-09,"OMC28",NA
2018-10-09,"OMC29",NA
2018-10-09,"OMC30",NA
2018-10-09,"OMC31",NA
2018-10-09,"OMC32",NA
2018-10-09,"OMC33",NA
2018-10-09,"OMC34",NA
2018-10-09,"OMC36",NA
2018-10-09,"OMC37",NA
2018-10-09,"OMC38",NA
2018-10-09,"NB01",1
2018-10-09,"NB02",1
2018-10-09,"NB03",0
2018-10-09,"NB04",1
2018-10-09,"NB05",1
2018-10-09,"NB06",1
2018-10-09,"NB07",0
2018-10-09,"NB08",0
2018-10-09,"NB09",1
2018-10-09,"NB10",1
2018-10-09,"NB11",1
2018-10-09,"NB12",1
2018-10-09,"NB14",0
2018-10-09,"NB15",0
2018-10-09,"NB16",0
2018-10-09,"NB17",1
2018-10-09,"NB18",1
2018-10-09,"NB19",1
2018-10-09,"NB20",1
2018-10-09,"NB21",1
2018-10-09,"NB22",1
2018-10-09,"NB23",0
2018-10-09,"NB24",0
2018-10-09,"NB25",0
2018-10-09,"NB26",1
2018-10-09,"NB27",1
2018-10-09,"NB28",1
2018-10-09,"NB29",0
2018-10-09,"NB30",1
2018-10-09,"NB31",0
2018-10-09,"NB32",0
2018-10-09,"NB33",0
2018-10-09,"NB34",1
2018-10-09,"NB35",1
2018-10-09,"NB36",0
2018-10-09,"NB37",1
2018-10-09,"NB38",1
2018-10-09,"NB39",0
2018-10-09,"NB40",0
2018-10-09,"NB41",0
2018-10-09,"NB42",0
2018-10-09,"NB43",0
2018-10-09,"NB44",1
2018-10-09,"NB45",0
2018-10-09,"NB46",1
2018-10-09,"NB47",1
2018-10-09,"NB48",0
2018-10-09,"NB49",0
2018-10-09,"NB50",0
2018-10-10,"MN02",NA
2018-10-10,"MN04",NA
2018-10-10,"MN05",NA
2018-10-10,"MN06",NA
2018-10-10,"MN07",NA
2018-10-10,"MN08",NA
2018-10-10,"MN09",NA
2018-10-10,"MN10",NA
2018-10-10,"MN11",NA
2018-10-10,"MN12",NA
2018-10-10,"MN13",NA
2018-10-10,"MN14",NA
2018-10-10,"MN15",NA
2018-10-10,"MN16",NA
2018-10-10,"MN17",NA
2018-10-10,"MN18",NA
2018-10-10,"MN19",NA
2018-10-10,"MN20",NA
2018-10-10,"MN21",NA
2018-10-10,"MN22",NA
2018-10-10,"MN23",NA
2018-10-10,"MN24",NA
2018-10-10,"MN25",NA
2018-10-10,"MN26",NA
2018-10-10,"MN27",NA
2018-10-10,"MN29",NA
2018-10-10,"MN30",NA
2018-10-10,"MN31",NA
2018-10-10,"MN32",NA
2018-10-10,"MN33",NA
2018-10-10,"MN34",NA
2018-10-10,"MN35",NA
2018-10-10,"MN37",NA
2018-10-10,"MN38",NA
2018-10-10,"MN39",NA
2018-10-10,"MN40",NA
2018-10-10,"MN41",NA
2018-10-10,"MN42",NA
2018-10-10,"MN43",NA
2018-10-10,"MN44",NA
2018-10-10,"MN45",NA
2018-10-10,"MN46",NA
2018-10-10,"MN47",NA
2018-10-10,"MN48",NA
2018-10-10,"MN49",NA
2018-10-10,"MN50",NA
2018-10-10,"MT01",NA
2018-10-10,"MT02",NA
2018-10-10,"MT03",NA
2018-10-10,"MT04",NA
